question_id,subject_id,chapter_id,chapter_name,question_number,book_section,book_question_number,question_type,question_text,sql_code,has_sql_asset,choice_count,choice_kinds,correct_choice,explanation,question_type_encoded,choice_kind_complexity,difficulty,difficulty_label
1_1_1,1,1,데이터 모델링의 이해,1,I,1,worst_choice,데이터 모델링의 특징으로 가장 적절하지 않은 것은?,,False,4,"text,text,text,text",2,"모델링은 단지 시스템 구현만을 위해 수행하는 태스크가 아니며, 시스템 구현을 포함한 업무분석 및 업무형상화를 하는 목적도 있다.",0,1,0,Easy
1_1_2,1,1,데이터 모델링의 이해,2,I,2,worst_choice,데이터 모델링에 대한 설명으로 가장 적절하지 않은 것은?,,False,4,"text,text,text,text",3,"데이터 모델링을 하는 첫 번째 목적은 업무정보를 구성하는 기초 정보들을 일정한 표기법으로 표현하여 분석하는 것이고, 두 번째는 실제 DB를 생성하기 위함이다. 단지 DB 구축 용도로만 쓰이는 것이 아니라 모델링 자체로도 업무를 설명하고 분석하는 중요한 의미가 있다.",0,1,0,Easy
1_1_3,1,1,데이터 모델링의 이해,3,I,3,worst_choice,데이터 모델링을 할 때 유의해야 할 사항으로 가장 적절하지 않은 것은?,,False,4,"text,text,text,text",3,사용자가 처리하는 프로세스 혹은 이와 관련된 프로그램과 테이블의 연계성을 높이는 것은 데이터 모델이 업무 변경에 대해 취약하게 만드는 단점(비유연성 발생)에 해당한다.,0,1,0,Easy
1_1_4,1,1,데이터 모델링의 이해,4,I,4,best_choice,"아래에서 설명하는 데이터 모델링의 유의점은? [아래]
데이터 모델을 어떻게 설계했느냐에 따라 사소한 업무변화에도 데이터 모델이 수시로 변경되어 유지보수의 어려움을 가중시킬 수 있다. 데이터의 정의를 데이터의 사용 프로세스와 분리하여 데이터 모델링은 데이터 혹은 프로세스의 작은 변화가 애플리케이션과 데이터베이스에 중대한 변화를 일으킬 수 있는 가능성을 줄인다.",,False,4,"keyword,keyword,keyword,keyword",2,데이터 모델링 시의 유의점에 대한 사항 중 비유연성(Inflexibility)에 대한 설명이다.,1,0,0,Easy
1_1_5,1,1,데이터 모델링의 이해,5,I,5,worst_choice,데이터 독립성의 구성요소에 대한 설명으로 가장 적절하지 않은 것은?,,False,4,"text,text,text,text",3,여러 사용자 관점으로 구성하는 것은 외부스키마이다.,0,1,0,Easy
1_1_6,1,1,데이터 모델링의 이해,6,I,6,best_choice,"아래에서 설명하는 스키마 구조로 가장 적절한 것은? [아래]
모든 사용자 관점을 통합한 조직 전체 관점의 통합적 표현. 모든 응용시스템들이나 사용자들이 필요로 하는 데이터를 통합한 조직 전체의 DB를 기술한 것으로 DB에 저장되는 데이터와 그들 간의 관계를 표현하는 스키마",,False,4,"text,text,text,text",2,"통합관점의 스키마 구조를 표현한 것을 개념 스키마(Conceptual Schema)라고 하며, 데이터 모델링은 통합관점의 뷰를 가지고 있는 개념 스키마를 만들어가는 과정으로 이해할 수 있다.",1,1,0,Easy
1_1_7,1,1,데이터 모델링의 이해,7,I,7,worst_choice,아래 ERD에 대한 설명으로 가장 적절하지 않은 것은?,,False,4,"text,text,text,text",4,"부모 엔터티에 데이터가 입력될 때 자식 엔터티에 해당 값이 존재하는지의 여부와 상관없이 입력될 수 있는 구조(선택 관계)로 표현되어 있기 때문에, 고객 엔터티에 새로운 고객번호 데이터를 입력하는 것은 주문 엔터티에 해당 고객번호가 존재하고 있는지의 여부와 상관없이 가능하다. 하지만 주문 엔터티 입장에서는 반드시 1명의 고객이 존재해야 하는 필수 관계(Mandatory)이다.",0,1,0,Easy
1_1_8,1,1,데이터 모델링의 이해,8,I,8,worst_choice,ERD에 대한 설명으로 가장 적절하지 않은 것은?,,False,4,"text,text,text,text",4,"사람의 눈은 왼쪽에서 오른쪽, 위쪽에서 아래쪽으로 이동하는 경향이 있기 때문에, 데이터 모델링에서도 가장 중요한 엔터티를 왼쪽 상단에 배치하고, 이것을 중심으로 다른 엔터티를 나열하면서 전개하는 것이 원칙이다.",0,1,0,Easy
1_1_9,1,1,데이터 모델링의 이해,9,I,9,best_choice,"아래 시나리오에서 엔터티로 가장 적절한 것은? [아래]
S병원은 여러 명의 환자가 존재하고 각 환자의 이름, 주소 등을 관리해야 한다. (단, 업무범위와 데이터의 특성은 위 시나리오에 기술되어 있는 사항만을 근거하여 판단해야 함)",,False,4,"keyword,keyword,keyword,keyword",2,"병원은 S병원 1개이므로 엔터티로 성립되지 않으며, 이름, 주소는 엔터티의 속성으로 인식될 수 있다. '여러 명'의 복수 인스턴스와 이름, 주소 등의 복수 속성을 가진 '환자'가 엔터티로 가장 적절하다.",1,0,0,Easy
1_1_10,1,1,데이터 모델링의 이해,10,I,10,worst_choice,엔터티의 특징으로 가장 적절하지 않은 것은?,,False,4,"text,text,text,text",3,엔터티는 영속적으로 존재하는 두 개 이상의 인스턴스의 집합이어야 한다. ('한 개'가 아니라 '두 개 이상'이어야 엔터티로 성립된다.),0,1,0,Easy
1_1_11,1,1,데이터 모델링의 이해,11,I,11,worst_choice,엔터티의 일반적인 특징으로 가장 적절하지 않은 것은?,,False,4,"text,text,text,text",1,"엔터티의 중요한 특징의 하나는 다른 엔터티와 관계를 가져야 한다는 것이다. 그러나 공통코드, 통계성 엔터티의 경우는 관계를 생략할 수 있다.",0,1,0,Easy
1_1_12,1,1,데이터 모델링의 이해,12,I,12,worst_choice,발생 시점에 따라 구분할 수 있는 엔터티의 유형으로 적절하지 않은 것은?,,False,4,"keyword,keyword,keyword,keyword",1,"엔터티의 발생 시점에 따라 기본 엔터티, 중심 엔터티, 행위 엔터티로 구분할 수 있다.",0,0,0,Easy
1_1_13,1,1,데이터 모델링의 이해,13,I,13,worst_choice,엔터티에 이름을 부여하는 방법으로 가장 적절하지 않은 것은?,,False,4,"text,text,text,text",1,엔터티를 명명하는 일반적인 기준 중 하나는 가능하면 약어를 사용하지 않는다는 것이다. 업무에서 사용하는 용어를 사용하고 단수명사를 쓰며 유일해야 한다.,0,1,0,Easy
1_1_14,1,1,데이터 모델링의 이해,14,I,14,best_choice,업무에서 필요로 하는 인스턴스에서 관리하고자 하는 의미상 더 이상 분리되지 않는 최소의 데이터 단위는?,,False,4,"keyword,keyword,keyword,keyword",2,"데이터 모델링 관점에서 속성을 정의하자면, 업무에서 필요로 하는 인스턴스에서 관리하고자 하는 의미상 더 분리되지 않는 최소의 데이터 단위로 정의할 수 있다.",1,0,0,Easy
1_1_15,1,1,데이터 모델링의 이해,15,I,15,worst_choice,속성에 대한 설명으로 가장 적절하지 않은 것은?,,False,4,"text,text,text,text",3,하나의 인스턴스에서 각각의 속성은 오직 한 개의 속성값을 가져야 한다.,0,1,0,Easy
1_1_16,1,1,데이터 모델링의 이해,16,I,16,identify_normal_form,"아래에서 수행한 정규화 작업으로 가장 적절한 것은? (단, 이후 필요한 정규화 작업은 계속 수행될 예정)",,False,4,"keyword,keyword,keyword,keyword",2,"2차 정규형 - 1st NF를 만족하고, 모든 Non-key 칼럼은 기본키 전체에 종속되어야 한다. 위 문제는 기본키 일부 칼럼(들)에만 종속적인 칼럼이 분리된 2차 정규화이다.",-1,0,0,Easy
1_1_17,1,1,데이터 모델링의 이해,17,I,17,best_choice,데이터를 조회할 때 빠른 성능을 낼 수 있도록 하기 위해 원래 속성값을 계산하여 저장할 수 있도록 만든 속성은?,,False,4,"keyword,keyword,keyword,keyword",1,데이터를 조회할 때 성능을 빠르게 하기 위해 원래 속성의 값을 계산하여 저장할 수 있도록 만든 속성을 파생속성(Derived Attribute)이라 한다.,1,0,0,Easy
1_1_18,1,1,데이터 모델링의 이해,18,I,18,best_choice,"아래 설명이 나타내는 데이터 모델의 개념으로 가장 적절한 것은? [아래]
주문이라는 엔터티가 있을 때 단가라는 속성값의 범위는 100에서 10,000 사이의 실수 값이며 제품명이라는 속성은 길이가 20자리 이내의 문자열로 정의할 수 있다.",,False,4,"keyword,keyword,keyword,keyword",4,각 엔터티(테이블)의 속성에 대해서 어떤 유형의 값이 들어가는지를 정의하는 개념은 도메인(Domain)에 해당한다.,1,0,0,Easy
1_1_19,1,1,데이터 모델링의 이해,19,I,19,worst_choice,데이터 모델링을 할 때 속성의 명칭을 부여하는 방법으로 가장 적절하지 않은 것은?,,False,4,"text,text,text,text",3,"속성의 명칭은 전체 데이터모델에서 유일성을 확보하는 것이 반정규화, 통합 등의 작업을 할 때 혼란을 방지할 수 있는 방법이 된다.",0,1,0,Easy
1_1_20,1,1,데이터 모델링의 이해,20,I,20,worst_choice,데이터 모델링의 관계에 대한 설명으로 가장 적절하지 않은 것은?,,False,4,"text,text,text,text",4,"설명이 뒤바뀌었다. 연관관계는 소스코드에서 멤버변수로 선언하여 사용하게 하고, 의존관계는 오퍼레이션에서 파라미터 등으로 이용할 수 있도록 되어 있다.",0,1,0,Easy
1_1_21,1,1,데이터 모델링의 이해,21,I,21,worst_choice,데이터 모델링의 관계에 대한 설명으로 가장 적절하지 않은 것은?,,False,4,"text,text,text,text",2,"관계 표기법은 관계명, 관계차수, 선택성(선택사양)의 3가지 개념으로 표현한다.",0,1,0,Easy
1_1_22,1,1,데이터 모델링의 이해,22,I,22,best_choice,"아래에서 설명하는 데이터 독립성은? [아래]
- 데이터베이스의 파일 구조의 변화가 논리스키마(Schema)에 영향을 주지 않음
- 데이터베이스의 색인 구조의 변화가 응용 프로그램에 영향을 주지 않음",,False,4,"keyword,keyword,keyword,keyword",2,"물리적 독립성은 물리 스키마가 변경되어도 논리 스키마에 영향을 주지 않는다. 즉, 파일 저장구조의 변경이 논리 스키마와 응용 프로그램에 영향을 주지 않는 것이다.",1,0,0,Easy
1_1_23,1,1,데이터 모델링의 이해,23,I,23,best_choice,"1:1, 1:M과 같이 두 엔터티 간의 관계에서 참여자의 수를 나타내는 것은?",,False,4,"keyword,keyword,keyword,keyword",2,관계의 기수성을 나타내는 개념은 관계차수에 해당한다.,1,0,0,Easy
1_1_24,1,1,데이터 모델링의 이해,24,I,24,worst_choice,두 개의 엔터티 사이에 정의한 관계에 대해 확인해야 할 사항으로 가장 적절하지 않은 것은?,,False,4,"text,text,text,text",3,"'업무기술서, 장표에 관계연결을 가능하게 하는 동사(Verb)가 있는가?'가 되어야 한다. 동사는 관계를 서술하는 업무기술서의 가장 중요한 사항이다.",0,1,0,Easy
1_1_25,1,1,데이터 모델링의 이해,25,I,25,best_choice,두 개의 엔터티 사이에서 관계를 도출할 때 확인해야 할 사항을 모두 고른 것은?,,False,4,"tuple,tuple,tuple,tuple",4,4개의 항목 모두 관계를 정의할 때 점검해야 할 항목이다.,1,0,0,Easy
1_1_26,1,1,데이터 모델링의 이해,26,I,26,best_choice,주식별자를 지정할 때 고려해야 할 사항을 모두 고른 것은?,,False,4,"tuple,tuple,tuple,tuple",4,"가(유일성), 나(최소성), 다(불변성), 라(존재성) 모두 주식별자가 가져야 할 특징이다.",1,0,0,Easy
1_1_27,1,1,데이터 모델링의 이해,27,I,27,worst_choice,아래에서 사원 엔터티의 특성에 해당하지 않는 것은?,,False,4,"keyword,keyword,keyword,keyword",4,"사번은 업무적으로 의미 있는 식별자로 시스템적으로 부여된 인조식별자가 아니라, 일반적으로 사원 인스턴스의 탄생과 함께 업무적으로 부여되는 사원 인스턴스의 본질적인 속성에 해당한다 할 수 있기 때문에 본질식별자로 볼 수 있다.",0,0,0,Easy
1_1_28,1,1,데이터 모델링의 이해,28,I,28,worst_choice,식별자로 가장 적절하지 않은 것은?,,False,4,"tuple,tuple,tuple,tuple",2,"명칭, 내역 등과 같이 이름으로 기술되는 것들은 주식별자로 지정하기에 적절하지 않다. 특히 사람의 이름은 동명이인이 있을 수 있기 때문에 주식별자로서 더더욱 부적절하다.",0,0,0,Easy
1_1_29,1,1,데이터 모델링의 이해,29,I,29,worst_choice,주식별자의 특징과 그에 대한 설명으로 가장 적절하지 않은 것은?,,False,4,"text,text,text,text",2,식별자 특징 중 존재성은 주식별자는 반드시 데이터값이 존재함을 의미한다. (NULL 허용 안됨),0,1,0,Easy
1_1_30,1,1,데이터 모델링의 이해,30,I,30,worst_choice,데이터 모델링에서 비식별자 관계로 연결하는 경우로 가장 적절하지 않은 것은?,,False,4,"text,text,text,text",3,SQL 문의 조인관계를 최소화하기 위해서는 식별자 관계로 연결해야 한다. (비식별자 관계는 조인 시 복잡성과 성능 저하를 야기할 수 있다.),0,1,0,Easy
1_1_31,1,1,데이터 모델링의 이해,31,I,31,best_choice,아래 식별자에 대한 설명이 올바르게 짝지어진 것은?,,False,4,"tuple,tuple,tuple,tuple",3,"가)는 주식별자, 나)는 보조식별자, 다)는 본질식별자, 라)는 외부식별자를 설명하고 있다.",1,0,0,Easy
1_1_32,1,1,데이터 모델링의 이해,32,I,32,best_choice,속성이 가질 수 있는 값의 범위를 지칭하는 용어는?,,False,4,"keyword,keyword,keyword,keyword",2,"도메인은 속성이 가질 수 있는 값의 범위를 의미하며, 엔터티 내에서 속성에 대한 데이터 타입과 크기, 여러 가지 제약 사항 등을 지정하는 것이다.",1,0,0,Easy
1_1_33,1,1,데이터 모델링의 이해,33,I,33,fill_blanks_multi,"아래 빈칸에 해당하는 것은? [아래]
업무분석을 통해 바로 정의한 속성을 (  ), 원래 업무상 존재하지는 않지만 설계를 하면서 도출해 내는 속성을 (  ), 다른 속성으로부터 계산이나 변형이 되어 생성되는 속성을 (  )이라고 한다.",,False,4,"tuple,tuple,tuple,tuple",1,"업무분석을 통해 바로 정의한 속성을 기본속성(Basic Attribute), 원래 업무상 존재하지는 않지만 설계를 하면서 도출해 내는 속성을 설계속성(Designed Attribute), 다른 속성으로부터 계산이나 변형이 되어 생성되는 속성을 파생속성(Derived Attribute)이라고 한다.",-1,0,0,Easy
3_5_1,3,5,SQL 옵티마이저,1,III,68,fill_blank,"아래 빈칸에 들어갈 내용으로 가장 적절한 것은? 테이블 및 인덱스 등의 통계 정보를 활용하여 SQL문을 실행하는데 드는 처리시간 및 CPU, I/O 자원량 등을 계산하여 가장 효율적일 것으로 예상 되는 실행계획을 선택하는 옵티마이저를 [ 빈칸 ]라 한다.",,False,4,"text,text,text,text",4,CBO(Cost Based Optimizer)에 대한 설명이다.,2,1,2,Hard
3_5_2,3,5,SQL 옵티마이저,2,III,69,best_choice,"DB 인스턴스를 실행한 직후, 아래 SQL을 포함하는 프로그램을 사원A와 B가 아래와 같이 각각 4회씩 연속적으로 수행하였다. 이 SQL에 대한 Hard Parsing 발생 횟수는?","select 고객명, 전화번호, 주소, 최종방문일시
from 고객
where 고객번호 = :custno",True,4,"text,text,text,text",1,SQL 커서의 공유와 재사용성에 관한 문제다. 캐싱된 SQL 커서는 반복하여 재사용할 수 있을 뿐만 아니라 여러 세션 간에 공유될 수 있다. 바인드 변수(:custno)를 사용하였으므로 최초 수행 시점(t1)에만 하드 파싱이 1회 발생하며 이후에는 캐시된 실행 계획을 공유하여 사용한다.,1,1,2,Hard
3_5_3,3,5,SQL 옵티마이저,3,III,70,best_choice,SQL*Plus나 TOAD 같은 쿼리 툴로 오라클 데이터베이스 ORDER 계정에 접속해서 아래 SQL을 각각 한 번씩 순차적으로 실행했다. SQL 파싱에 대한 설명으로 가장 적절한 것은?,,False,4,"text,text,text,text",1,"캐시에서 SQL과 실행계획을 식별하는 식별자는 SQL 문장 그 자체다. 따라서 옵티마이저는 대소문자나 주석 등 문자 하나만 달라도 서로 다른 SQL로 인식해 각각 하드파싱을 일으키고 다른 캐시 공간을 사용한다. 1~3번 SQL은 SQL Text가 서로 다르다. SQL Text가 달라 하드파싱은 각각 일어나지만, 의미상 전혀 차이가 없으므로 실행계획은 같다.",1,1,1,Medium
